"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24069","TC-PO-02: Add products → Receive → status Received","chromium","2026-05-08","passed","2026-05-08","Purchase Order - Full Lifecycle (Created → Received → Verified)","purchase-order/po-lifecycle.spec.ts","",""
"","31556","TC_PO_008: Verify PO cancellation","chromium","2026-05-08","passed","2026-05-08","Purchase Order - Workflow","purchase-order/cancel-po.spec.ts","",""
"","39382","TC_PO_007: Verify SKU removal from PO","chromium","2026-05-08","passed","2026-05-08","Purchase Order - SKU Handling","purchase-order/remove-sku-from-po.spec.ts","",""
"","26590","TC-PO-03: Verify deliveries → status Verified","chromium","2026-05-08","failed","2026-05-08","Purchase Order - Full Lifecycle (Created → Received → Verified)","purchase-order/po-lifecycle.spec.ts","",""
"","32649","TC_PO_009: Verify search by PO number returns the correct PO","chromium","2026-05-08","passed","2026-05-08","Purchase Order - Search","purchase-order/search-po-by-number.spec.ts","",""
"","24736","TC_PO_013: Verify PO list export downloads a CSV containing grid data","chromium","2026-05-08","passed","2026-05-08","Purchase Order - Export","purchase-order/export-po-list.spec.ts","",""
"","23369","TC_PO_011: Verify PO import via CSV creates a new PO","chromium","2026-05-08","passed","2026-05-08","Purchase Order - Import","purchase-order/import-po-csv.spec.ts","",""
"","40645","TC-PO-CREATE-MULTI-01: Verify PO creation with multiple SKUs","chromium","2026-05-08","passed","2026-05-08","Purchase Order - Create PO with multiple SKUs","purchase-order/create-po-multi-sku.spec.ts","",""
"","32745","TC_PO_010: Filter PO grid by status — only Created POs are shown","chromium","2026-05-08","passed","2026-05-08","Purchase Order - Search","purchase-order/filter-po-by-status.spec.ts","",""
"","33979","TC_PO_012: Verify validation error when uploading invalid CSV","chromium","2026-05-08","failed","2026-05-08","Purchase Order - Import","purchase-order/import-po-csv-invalid.spec.ts","",""
"","21324","TC-PO-VAL-01: Verify error when supplier is not selected","chromium","2026-05-08","passed","2026-05-08","Purchase Order - Validation","purchase-order/create-po-no-supplier.spec.ts","",""
"","29597","TC_PO_014: Verify consignment PO creation lands in the consignment module","chromium","2026-05-08","passed","2026-05-08","Purchase Order - Consignment","purchase-order/create-consignment-po.spec.ts","",""
"","15673","TC-PO-SEARCH-01: Verify search PO in PO grid by Box ID/Reference","chromium","2026-05-08","passed","2026-05-08","Purchase Order - Search in PO Grid","purchase-order/search-po.spec.ts","",""
"","25975","TC_PO_004: Verify error when SKU is not added","chromium","2026-05-08","passed","2026-05-08","Purchase Order - Validation","purchase-order/create-po-no-sku.spec.ts","",""
"","39046","TC-PO-006: Verify SKU can be added via search","chromium","2026-05-08","passed","2026-05-08","Purchase Order - SKU Handling","purchase-order/add-sku-via-search.spec.ts","",""
"","21981","TC-PO-01: Create PO with supplier → status Created","chromium","2026-05-08","passed","2026-05-08","Purchase Order - Full Lifecycle (Created → Received → Verified)","purchase-order/po-lifecycle.spec.ts","",""
"","16084","should login, navigate to PO, expand IPHONE > LCD, and verify UI elements","chromium","2026-05-08","passed","2026-05-08","Purchase Order - Explore PO Create Flow","purchase-order/explore-po.spec.ts","",""
"","21714","TC-PO-CREATE-01: Verify PO creation with valid data","chromium","2026-05-08","passed","2026-05-08","Purchase Order - Create PO with valid data","purchase-order/create-po-valid.spec.ts","",""
